,0,1,2,3,4,5
322,7,0.7777777777777778,QSAR-TID-235,QSAR-TID-11,3215,3050
323,7,0.5833333333333334,QSAR-TID-235,QSAR-TID-10980,3215,3277
324,9,1.0,QSAR-TID-11414,QSAR-TID-11,3216,3050
325,8,0.6666666666666666,QSAR-TID-11414,QSAR-TID-10980,3216,3277
326,7,0.7777777777777778,QSAR-TID-278,QSAR-TID-11,3217,3050
327,7,0.5833333333333334,QSAR-TID-278,QSAR-TID-10980,3217,3277
328,7,0.7777777777777778,QSAR-TID-30021,QSAR-TID-11,3218,3050
329,7,0.5833333333333334,QSAR-TID-30021,QSAR-TID-10980,3218,3277
330,8,0.8888888888888888,QSAR-TID-103456,QSAR-TID-11,3219,3050
331,9,0.75,QSAR-TID-103456,QSAR-TID-10980,3219,3277
332,7,0.7777777777777778,QSAR-TID-20151,QSAR-TID-11,3220,3050
333,7,0.5833333333333334,QSAR-TID-20151,QSAR-TID-10980,3220,3277
334,8,0.8888888888888888,QSAR-TID-17120,QSAR-TID-11,3221,3050
335,8,0.6666666666666666,QSAR-TID-17120,QSAR-TID-10980,3221,3277
336,8,0.8888888888888888,QSAR-TID-10839,QSAR-TID-11,3222,3050
337,9,0.75,QSAR-TID-10839,QSAR-TID-10980,3222,3277
338,8,0.8888888888888888,QSAR-TID-12840,QSAR-TID-11,3224,3050
339,8,0.6666666666666666,QSAR-TID-12840,QSAR-TID-10980,3224,3277
340,7,0.7777777777777778,QSAR-TID-20025,QSAR-TID-11,3225,3050
341,7,0.5833333333333334,QSAR-TID-20025,QSAR-TID-10980,3225,3277
342,8,0.8888888888888888,QSAR-TID-103452,QSAR-TID-11,3226,3050
343,9,0.75,QSAR-TID-103452,QSAR-TID-10980,3226,3277
344,8,0.8888888888888888,QSAR-TID-100867,QSAR-TID-11,3227,3050
345,9,0.75,QSAR-TID-100867,QSAR-TID-10980,3227,3277
346,8,0.8888888888888888,QSAR-TID-12265,QSAR-TID-11,3229,3050
347,8,0.6666666666666666,QSAR-TID-12265,QSAR-TID-10980,3229,3277
348,8,0.8888888888888888,QSAR-TID-10930,QSAR-TID-11,3230,3050
349,10,0.8333333333333334,QSAR-TID-10930,QSAR-TID-10980,3230,3277
350,8,0.8888888888888888,QSAR-TID-10979,QSAR-TID-11,3231,3050
351,10,0.8333333333333334,QSAR-TID-10979,QSAR-TID-10980,3231,3277
352,8,0.8888888888888888,QSAR-TID-102988,QSAR-TID-11,3232,3050
353,9,0.75,QSAR-TID-102988,QSAR-TID-10980,3232,3277
354,7,0.7777777777777778,QSAR-TID-30038,QSAR-TID-11,3233,3050
355,7,0.5833333333333334,QSAR-TID-30038,QSAR-TID-10980,3233,3277
356,8,0.8888888888888888,QSAR-TID-10653,QSAR-TID-11,3234,3050
357,9,0.75,QSAR-TID-10653,QSAR-TID-10980,3234,3277
358,8,0.8888888888888888,QSAR-TID-101360,QSAR-TID-11,3235,3050
359,9,0.75,QSAR-TID-101360,QSAR-TID-10980,3235,3277
360,8,0.8888888888888888,QSAR-TID-12506,QSAR-TID-11,3236,3050
